time,ready_count,running_count,unfinished_count,burst_mean,burst_variance,remaining_mean,remaining_variance,wait_mean,wait_variance,max_wait_current,short_job_ratio,arrival_rate,best_combo,combo_class,core0_alg,core1_alg,core2_alg,core3_alg,score,score_avg_waiting_now,score_max_waiting_now,score_waiting_variance_now,score_avg_remaining_now,score_avg_response_started,score_completed_count,score_unfinished_count_end,workload_file
0,0,0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40080160320641284,HRRN|HRRN|HRRN|SPN,78,HRRN,HRRN,HRRN,SPN,16.536458333333336,11.11111111111111,26.0,59.111111111111114,9.88888888888889,7.03125,29,9,short_1000_processes.txt
25,4,3,992,14.714285714285714,53.23809523809524,10.0,53.333333333333336,3.4285714285714284,11.61904761904762,9.0,0.5714285714285714,0.39878542510121456,HRRN|HRRN|HRRN|HRRN,80,HRRN,HRRN,HRRN,HRRN,5.0805952380952375,6.0,11.0,17.142857142857142,9.75,11.466666666666667,31,8,short_1000_processes.txt
50,4,4,982,12.5,38.57142857142857,9.125,36.69642857142857,13.25,30.785714285714285,20.0,0.5,0.3983640081799591,HRRN|SPN|HRRN|HRRN,62,HRRN,SPN,HRRN,HRRN,12.403333333333332,11.333333333333334,19.0,40.0,11.0,11.033333333333333,30,9,short_1000_processes.txt
75,4,4,971,13.375,30.267857142857142,10.0,48.857142857142854,12.75,68.78571428571429,26.0,0.5,0.39793388429752063,HRRN|SPN|HRRN|HRRN,62,HRRN,SPN,HRRN,HRRN,18.275,12.625,23.0,69.125,10.125,12.0,29,8,short_1000_processes.txt
100,4,4,961,11.5,12.285714285714286,9.75,20.785714285714285,7.25,70.78571428571429,27.0,0.5,0.39807852965747703,HRRN|HRRN|HRRN|HRRN,80,HRRN,HRRN,HRRN,HRRN,11.423571428571428,8.2,16.0,44.7,8.2,12.285714285714286,28,5,short_1000_processes.txt
125,4,4,952,13.0,17.714285714285715,10.0,30.285714285714285,12.75,20.785714285714285,19.0,0.625,0.3983122362869198,SPN|SRT|SRT|SRT,13,SPN,SRT,SRT,SRT,-3.957407407407407,0.0,0.0,0.0,0.0,6.925925925925926,31,0,short_1000_processes.txt
150,2,4,941,17.0,4.0,13.0,34.0,19.833333333333332,159.76666666666668,32.0,0.5,0.39872068230277186,SRT|SPN|SPN|SPN,27,SRT,SPN,SPN,SPN,-2.4379999999999997,0.0,0.0,0.0,7.4,3.52,26,5,short_1000_processes.txt
175,0,3,932,17.666666666666668,5.333333333333334,8.0,19.0,28.666666666666668,386.3333333333333,41.0,0.3333333333333333,0.40043103448275863,SPN|HRRN|HRRN|SPN,24,SPN,HRRN,HRRN,SPN,0.7251851851851847,4.2,6.0,1.2,10.0,1.8518518518518519,26,5,short_1000_processes.txt
200,0,0,921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4014821272885789,SRT|HRRN|HRRN|SRT,52,SRT,HRRN,HRRN,SRT,2.989285714285714,4.428571428571429,9.0,10.619047619047619,8.285714285714286,1.75,24,7,short_1000_processes.txt
225,0,3,915,13.666666666666666,14.333333333333332,7.333333333333333,5.333333333333333,0.3333333333333333,0.33333333333333337,1.0,0.6666666666666666,0.4017621145374449,SPN|HRRN|HRRN|HRRN,26,SPN,HRRN,HRRN,HRRN,5.061488095238095,8.125,12.0,10.982142857142858,12.0,5.266666666666667,29,8,short_1000_processes.txt
