# Workload    : Long (burst 50–100)
# Processes   : 100
# Max arrival : 100
# Arrivals    : distributed integers in [0, 100]
#
name,arrival,burst
1,79,83
2,14,50
3,6,85
4,96,56
5,33,70
6,71,68
7,65,99
8,4,98
9,53,83
10,74,64
11,50,100
12,23,91
13,38,93
14,31,85
15,78,77
16,15,90
17,63,99
18,59,77
19,75,54
20,60,65
21,65,58
22,5,90
23,3,56
24,57,55
25,29,90
26,95,54
27,98,68
28,33,51
29,21,76
30,100,60
31,87,60
32,18,84
33,68,81
34,92,98
35,24,81
36,89,77
37,20,96
38,1,52
39,22,87
40,35,83
41,72,97
42,17,55
43,41,96
44,51,58
45,54,83
46,40,67
47,60,85
48,36,83
49,76,54
50,32,91
51,56,94
52,72,79
53,54,56
54,62,71
55,0,69
56,91,71
57,26,88
58,13,85
59,99,89
60,81,83
61,83,71
62,84,54
63,85,59
64,45,95
65,13,78
66,46,87
67,10,99
68,51,80
69,29,63
70,78,66
71,7,97
72,16,88
73,11,77
74,19,54
75,8,62
76,43,64
77,42,88
78,48,56
79,45,53
80,94,57
81,69,73
82,47,91
83,63,77
84,57,63
85,97,61
86,34,85
87,87,93
88,9,53
89,41,100
90,68,59
91,90,88
92,37,94
93,80,99
94,27,62
95,67,86
96,83,83
97,93,74
98,77,56
99,2,95
100,25,56
