# Workload    : Long (burst 50–100)
# Processes   : 100
# Max arrival : 5000
# Arrivals    : random integers in [0, 5000]
#
name,arrival,burst
1,1420,81
2,3251,93
3,91,72
4,2521,84
5,123,95
6,1169,87
7,3153,59
8,4753,98
9,2698,99
10,3208,54
11,2645,86
12,2825,96
13,2848,90
14,4160,99
15,4467,94
16,2555,74
17,1955,50
18,2922,53
19,2137,83
20,1799,85
21,3346,72
22,2896,68
23,4098,78
24,2413,62
25,3983,85
26,2973,69
27,2816,70
28,3591,71
29,4101,81
30,4580,64
31,480,54
32,3521,92
33,1730,71
34,4042,72
35,3073,98
36,38,71
37,2842,100
38,2402,52
39,3662,53
40,4843,92
41,2396,92
42,618,94
43,212,52
44,2217,55
45,3154,53
46,3673,88
47,1194,99
48,1761,56
49,3791,51
50,166,86
51,99,60
52,276,63
53,189,63
54,705,76
55,4464,75
56,462,98
57,4547,83
58,2565,69
59,2262,52
60,4803,51
61,4895,69
62,2789,54
63,707,59
64,637,58
65,1701,75
66,812,50
67,3167,72
68,1587,65
69,3542,62
70,848,80
71,4436,83
72,75,68
73,4734,83
74,1131,62
75,302,63
76,4774,60
77,3787,54
78,2398,53
79,1842,50
80,1867,62
81,2218,97
82,1345,72
83,4143,76
84,1605,82
85,1123,69
86,179,73
87,376,62
88,4646,100
89,4638,59
90,653,83
91,1987,61
92,4861,96
93,3051,100
94,2105,80
95,3494,93
96,2572,91
97,2736,57
98,4666,75
99,757,86
100,3652,94
