# Workload    : Mixed (70% short / 30% long)
# Processes   : 100
# Max arrival : 100
# Arrivals    : distributed integers in [0, 100]
#
name,arrival,burst
1,38,68
2,6,89
3,31,84
4,96,5
5,51,14
6,15,14
7,29,19
8,80,7
9,58,91
10,20,16
11,17,3
12,74,9
13,62,1
14,71,56
15,49,68
16,97,76
17,31,22
18,83,99
19,92,53
20,59,2
21,8,74
22,43,12
23,89,7
24,23,97
25,45,11
26,55,16
27,10,8
28,9,2
29,26,72
30,77,14
31,25,23
32,27,61
33,61,59
34,90,3
35,40,8
36,46,10
37,35,9
38,67,20
39,67,18
40,79,18
41,99,58
42,25,1
43,33,71
44,84,8
45,36,91
46,12,25
47,87,9
48,43,57
49,20,72
50,5,1
51,78,19
52,22,21
53,65,19
54,75,67
55,53,1
56,95,52
57,4,7
58,54,21
59,3,5
60,45,3
61,51,52
62,65,8
63,90,20
64,69,13
65,94,81
66,32,19
67,98,7
68,41,24
69,75,10
70,80,12
71,37,12
72,73,13
73,62,19
74,29,23
75,0,77
76,18,11
77,39,14
78,64,21
79,59,73
80,11,21
81,93,7
82,85,95
83,100,3
84,56,91
85,70,11
86,71,65
87,1,21
88,82,14
89,17,17
90,21,7
91,35,69
92,49,18
93,47,76
94,7,12
95,14,12
96,88,8
97,2,12
98,53,1
99,84,2
100,13,17
