# Workload    : Long (burst 50–100)
# Processes   : 100
# Max arrival : 229
# Arrivals    : cumulative integers, step randint(0, 5)
#
name,arrival,burst
1,0,79
2,0,61
3,0,99
4,1,82
5,6,66
6,8,75
7,10,87
8,13,59
9,18,53
10,21,70
11,21,66
12,21,72
13,24,65
14,26,53
15,27,82
16,30,51
17,32,71
18,37,80
19,37,52
20,39,96
21,44,54
22,48,90
23,52,85
24,54,78
25,57,92
26,59,88
27,64,62
28,64,50
29,68,89
30,72,94
31,74,91
32,75,100
33,75,92
34,76,69
35,76,82
36,80,79
37,80,83
38,81,60
39,81,62
40,81,54
41,83,50
42,88,98
43,93,68
44,98,68
45,102,97
46,104,98
47,104,66
48,106,67
49,106,54
50,109,93
51,114,51
52,116,64
53,120,94
54,122,55
55,125,55
56,126,78
57,128,66
58,128,55
59,129,94
60,130,55
61,131,82
62,134,98
63,136,62
64,140,68
65,142,89
66,142,98
67,147,65
68,152,96
69,155,86
70,158,83
71,162,95
72,163,50
73,165,93
74,168,65
75,173,85
76,173,69
77,173,54
78,176,54
79,177,65
80,178,75
81,182,93
82,184,59
83,184,88
84,186,76
85,191,96
86,194,90
87,194,57
88,195,99
89,200,69
90,203,80
91,206,62
92,210,91
93,211,100
94,213,65
95,214,63
96,217,96
97,221,71
98,224,53
99,227,70
100,229,66
