# Workload    : Mixed (70% short / 30% long)
# Processes   : 100
# Max arrival : 237
# Arrivals    : cumulative integers, step randint(0, 5)
#
name,arrival,burst
1,0,17
2,3,53
3,5,2
4,9,56
5,9,72
6,9,20
7,10,12
8,15,22
9,18,4
10,23,14
11,28,59
12,33,24
13,33,74
14,34,7
15,35,18
16,40,17
17,43,80
18,46,3
19,46,90
20,50,3
21,51,25
22,52,4
23,52,85
24,54,12
25,59,7
26,62,22
27,64,1
28,66,19
29,71,25
30,75,7
31,77,73
32,77,18
33,78,72
34,79,25
35,81,19
36,84,19
37,87,3
38,88,1
39,93,57
40,94,50
41,95,73
42,97,21
43,98,89
44,99,83
45,104,54
46,109,13
47,111,13
48,116,2
49,118,5
50,119,23
51,123,23
52,125,11
53,125,20
54,128,8
55,128,14
56,132,99
57,132,1
58,132,2
59,133,2
60,134,22
61,134,86
62,135,25
63,136,4
64,139,60
65,143,50
66,147,50
67,152,13
68,152,90
69,153,20
70,154,19
71,159,16
72,164,25
73,168,78
74,168,22
75,170,9
76,171,8
77,175,24
78,178,17
79,181,3
80,184,18
81,184,7
82,188,58
83,192,19
84,197,58
85,198,10
86,202,6
87,202,22
88,206,76
89,208,16
90,209,20
91,212,56
92,216,15
93,219,93
94,221,86
95,225,25
96,226,75
97,226,18
98,231,6
99,234,20
100,237,24
