# Workload    : Short (burst 1–25)
# Processes   : 100
# Max arrival : 226
# Arrivals    : cumulative integers, step randint(0, 5)
#
name,arrival,burst
1,0,9
2,1,1
3,1,20
4,3,4
5,4,7
6,9,20
7,9,3
8,12,21
9,16,10
10,18,10
11,19,16
12,23,11
13,24,16
14,27,17
15,30,25
16,30,23
17,32,2
18,34,9
19,35,1
20,37,21
21,40,4
22,43,17
23,45,1
24,49,25
25,50,5
26,50,20
27,52,8
28,54,6
29,54,21
30,54,23
31,55,6
32,59,6
33,64,6
34,69,1
35,71,24
36,72,18
37,77,4
38,77,18
39,80,21
40,84,13
41,84,25
42,84,20
43,85,25
44,87,5
45,87,14
46,88,22
47,88,6
48,90,15
49,92,25
50,92,9
51,95,2
52,98,6
53,100,17
54,100,6
55,102,16
56,105,13
57,109,23
58,109,15
59,111,18
60,112,14
61,115,9
62,118,18
63,120,18
64,125,21
65,127,3
66,129,14
67,133,23
68,135,16
69,140,10
70,145,6
71,149,19
72,149,14
73,153,15
74,157,7
75,162,2
76,165,5
77,170,6
78,174,11
79,176,24
80,180,10
81,184,18
82,185,25
83,189,15
84,189,12
85,193,16
86,195,18
87,199,4
88,203,6
89,203,12
90,208,7
91,210,23
92,214,15
93,216,11
94,218,21
95,218,5
96,223,13
97,225,13
98,225,1
99,225,13
100,226,1
