# Workload    : Short (burst 1–25)
# Processes   : 100
# Max arrival : 100
# Arrivals    : distributed integers in [0, 100]
#
name,arrival,burst
1,23,12
2,33,23
3,10,18
4,82,9
5,18,13
6,15,7
7,97,6
8,21,21
9,34,13
10,69,15
11,14,19
12,44,24
13,66,8
14,89,13
15,64,6
16,76,22
17,6,2
18,7,25
19,4,21
20,35,20
21,9,15
22,11,24
23,71,5
24,51,6
25,22,11
26,94,19
27,65,21
28,20,19
29,12,2
30,29,12
31,83,20
32,88,11
33,5,1
34,60,9
35,45,20
36,48,4
37,86,4
38,25,9
39,80,21
40,44,25
41,71,2
42,42,13
43,73,6
44,57,16
45,62,19
46,17,24
47,1,3
48,79,19
49,0,12
50,85,23
51,98,16
52,74,10
53,73,18
54,49,17
55,76,25
56,92,24
57,55,8
58,28,3
59,87,7
60,8,16
61,50,12
62,26,17
63,80,20
64,33,21
65,96,25
66,41,5
67,100,11
68,2,6
69,52,13
70,13,18
71,91,11
72,63,19
73,31,25
74,56,4
75,93,21
76,16,11
77,59,21
78,39,14
79,3,17
80,19,7
81,99,22
82,77,24
83,38,14
84,70,6
85,83,8
86,51,23
87,58,14
88,40,1
89,53,4
90,38,9
91,90,5
92,47,22
93,64,15
94,36,5
95,95,2
96,24,7
97,61,17
98,68,3
99,27,15
100,30,19
