time,ready_count,running_count,unfinished_count,burst_mean,burst_variance,remaining_mean,remaining_variance,wait_mean,wait_variance,max_wait_current,short_job_ratio,arrival_rate,best_combo,combo_class,core0_alg,core1_alg,core2_alg,core3_alg,score,score_avg_turnaround,score_avg_waiting,score_max_waiting_now,score_waiting_variance_now,score_context_switches,score_completed_count,workload_file
0,0,0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40080160320641284,FCFS|SJF|HRRN|SJF,33,FCFS,SJF,HRRN,SJF,0.30069709977298237,13.428571428571429,4.607142857142857,25.0,77.78888888888888,32,28,short_1000_processes.txt
25,4,3,992,14.714285714285714,53.23809523809524,10.0,70.0,3.4285714285714284,18.28571428571428,10.0,0.5714285714285714,0.39878542510121456,SJF|SJF|SJF|SJF,0,SJF,SJF,SJF,SJF,0.3192478966441963,15.451612903225806,5.806451612903226,51.0,331.125,32,31,short_1000_processes.txt
50,2,4,980,16.166666666666668,10.966666666666667,12.166666666666666,68.16666666666667,17.833333333333332,110.16666666666667,33.0,0.3333333333333333,0.3983640081799591,FCFS|SJF|SJF|SJF,27,FCFS,SJF,SJF,SJF,0.3020200460320512,19.857142857142858,9.392857142857142,28.0,93.75,28,28,short_1000_processes.txt
75,3,4,970,14.142857142857142,29.80952380952381,11.428571428571429,56.952380952380956,13.285714285714286,193.90476190476193,40.0,0.42857142857142855,0.39793388429752063,SJF|SJF|FCFS|SJF,3,SJF,SJF,FCFS,SJF,0.27923377412806166,20.24137931034483,9.931034482758621,25.0,100.0,28,29,short_1000_processes.txt
100,4,3,960,13.0,19.0,11.142857142857142,39.80952380952381,8.285714285714286,241.57142857142864,43.0,0.5714285714285714,0.39807852965747703,SJF|FCFS|SJF|SJF,9,SJF,FCFS,SJF,SJF,0.31399126357098717,18.448275862068964,8.172413793103448,42.0,561.3333333333334,28,29,short_1000_processes.txt
125,3,4,951,15.142857142857142,14.476190476190476,11.428571428571429,32.61904761904762,19.857142857142858,300.4761904761904,55.0,0.5714285714285714,0.3983122362869198,HRRN|SJF|SJF|SJF,54,HRRN,SJF,SJF,SJF,0.2597080455110227,20.533333333333335,10.066666666666666,0.0,0.0,26,30,short_1000_processes.txt
150,2,3,940,17.2,4.699999999999999,15.6,12.8,18.2,141.7,32.0,0.4,0.39872068230277186,SJF|SJF|SJF|SJF,0,SJF,SJF,SJF,SJF,0.2571389606759075,15.76,6.0,0.0,0.0,25,25,short_1000_processes.txt
175,0,3,932,17.666666666666668,5.333333333333334,8.0,19.0,28.666666666666668,386.3333333333333,41.0,0.3333333333333333,0.40043103448275863,SJF|HRRN|HRRN|SJF,24,SJF,HRRN,HRRN,SJF,0.24095970264021782,14.307692307692308,4.576923076923077,6.0,1.2,27,26,short_1000_processes.txt
200,0,0,921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4014821272885789,SJF|SJF|FCFS|SJF,3,SJF,SJF,FCFS,SJF,0.30273601087459917,11.695652173913043,1.565217391304348,12.0,17.553571428571427,27,23,short_1000_processes.txt
225,0,3,915,13.666666666666666,14.333333333333332,7.0,7.0,0.0,0.0,0.0,0.6666666666666666,0.4017621145374449,HRRN|SJF|HRRN|SJF,60,HRRN,SJF,HRRN,SJF,0.29775478525272914,13.068965517241379,3.1724137931034484,19.0,22.696428571428573,29,29,short_1000_processes.txt
250,1,4,906,16.6,2.8000000000000003,10.0,43.5,4.2,10.2,9.0,0.4,0.4015151515151515,SJF|SJF|SJF|SJF,0,SJF,SJF,SJF,SJF,0.30032600014215266,14.366666666666667,3.6666666666666665,59.0,573.2380952380952,29,30,short_1000_processes.txt
275,4,4,898,11.5,34.0,7.125,34.69642857142857,5.125,19.839285714285715,12.0,0.5,0.4016245487364621,SJF|SJF|SJF|SJF,0,SJF,SJF,SJF,SJF,0.29124220763778674,12.470588235294118,3.2058823529411766,84.0,906.4545454545456,34,34,short_1000_processes.txt
300,5,3,886,16.0,14.857142857142858,11.875,47.55357142857143,9.875,112.69642857142857,34.0,0.5,0.4001823154056518,SJF|SJF|SJF|SJF,0,SJF,SJF,SJF,SJF,0.28370896189286426,13.866666666666667,3.6333333333333333,109.0,1460.878787878788,31,30,short_1000_processes.txt
325,4,3,876,13.571428571428571,26.61904761904762,11.857142857142858,45.47619047619048,20.285714285714285,573.2380952380953,59.0,0.5714285714285714,0.40064545873674506,SJF|SJF|SJF|SJF,0,SJF,SJF,SJF,SJF,0.28328349932933317,13.64516129032258,4.354838709677419,134.0,2259.25,31,31,short_1000_processes.txt
350,6,4,864,16.1,5.21111111111111,14.1,23.655555555555555,26.8,934.6222222222225,84.0,0.4,0.39813519813519815,SJF|SJF|SJF|SJF,0,SJF,SJF,SJF,SJF,0.3042885965031787,24.32,13.28,146.0,2416.692307692307,25,25,short_1000_processes.txt
375,8,4,856,16.25,13.477272727272727,14.083333333333334,48.26515151515151,34.166666666666664,1460.878787878788,109.0,0.25,0.39830108541764986,SJF|SJF|SJF|SJF,0,SJF,SJF,SJF,SJF,0.3328387611583905,27.766666666666666,17.8,162.0,2169.901515151515,30,30,short_1000_processes.txt
400,6,3,845,15.666666666666666,31.25,13.0,34.0,58.0,2259.25,134.0,0.5555555555555556,0.39942666029622553,SJF|SJF|SJF|SJF,0,SJF,SJF,SJF,SJF,0.30434624917791153,28.166666666666668,17.833333333333332,187.0,2608.617647058824,31,30,short_1000_processes.txt
425,9,4,839,15.0,28.333333333333332,11.615384615384615,48.08974358974359,37.76923076923077,2416.692307692307,146.0,0.6153846153846154,0.39922667955534075,SJF|SJF|SJF|SJF,0,SJF,SJF,SJF,SJF,0.29862227118178397,18.514285714285716,9.628571428571428,212.0,3449.758241758242,35,35,short_1000_processes.txt
450,8,4,826,16.916666666666668,13.71969696969697,14.666666666666666,41.51515151515151,38.083333333333336,2169.901515151515,162.0,0.3333333333333333,0.39862879529872675,SJF|SJF|SJF|SJF,0,SJF,SJF,SJF,SJF,0.2987798759139803,16.12121212121212,6.96969696969697,227.0,4708.890909090909,33,33,short_1000_processes.txt
475,12,4,815,15.875,26.783333333333335,15.0,43.86666666666667,40.75,2678.3333333333335,187.0,0.3125,0.39554455445544556,SJF|SJF|SJF|SJF,0,SJF,SJF,SJF,SJF,0.36447709672158807,28.393939393939394,19.303030303030305,148.0,3807.6181818181817,33,33,short_1000_processes.txt
500,10,4,804,17.571428571428573,15.34065934065934,15.214285714285714,45.41208791208791,65.28571428571429,3449.7582417582425,212.0,0.35714285714285715,0.39638735574510786,FCFS|SJF|SJF|SJF,27,FCFS,SJF,SJF,SJF,0.3438469388691532,35.24242424242424,25.727272727272727,168.0,4160.74358974359,31,33,short_1000_processes.txt
525,7,4,793,18.454545454545453,8.472727272727273,17.0,21.6,72.27272727272727,2917.6181818181813,157.0,0.36363636363636365,0.3971559167089893,SJF|SJF|SJF|SJF,0,SJF,SJF,SJF,SJF,0.2873699152973243,26.733333333333334,16.933333333333334,198.0,5703.983333333334,30,30,short_1000_processes.txt
550,7,4,783,15.727272727272727,38.61818181818182,14.272727272727273,61.618181818181824,68.9090909090909,3828.8909090909087,148.0,0.36363636363636365,0.3969151670951157,SJF|SJF|SJF|SJF,0,SJF,SJF,SJF,SJF,0.28814499851737385,19.103448275862068,9.068965517241379,223.0,7023.24358974359,28,29,short_1000_processes.txt
