time,ready_count,running_count,unfinished_count,burst_mean,burst_variance,remaining_mean,remaining_variance,wait_mean,wait_variance,max_wait_current,short_job_ratio,arrival_rate,best_combo,combo_class,core0_alg,core1_alg,core2_alg,core3_alg,score,score_avg_turnaround,score_avg_waiting,score_max_waiting_now,score_waiting_variance_now,score_context_switches,score_completed_count,workload_file
0,0,0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40080160320641284,FCFS|HRRN|FCFS|FCFS,49,FCFS,HRRN,FCFS,FCFS,82.6922558922559,18.074074074074073,8.0,16.0,26.472727272727276,26,27,short_1000_processes.txt
25,4,3,992,14.714285714285714,53.23809523809524,10.0,53.333333333333336,3.4285714285714284,11.61904761904762,9.0,0.5714285714285714,0.39878542510121456,HRRN|HRRN|HRRN|HRRN,80,HRRN,HRRN,HRRN,HRRN,82.49539170506912,21.096774193548388,10.612903225806452,11.0,17.142857142857142,30,31,short_1000_processes.txt
50,4,4,982,12.5,38.57142857142857,9.125,36.69642857142857,13.25,30.785714285714285,20.0,0.5,0.3983640081799591,HRRN|FCFS|HRRN|FCFS,70,HRRN,FCFS,HRRN,FCFS,99.5625,22.666666666666668,12.333333333333334,17.0,36.25,30,30,short_1000_processes.txt
75,5,3,971,13.375,30.267857142857142,10.0,36.0,12.75,40.5,24.0,0.5,0.39793388429752063,FCFS|FCFS|FCFS|FCFS,40,FCFS,FCFS,FCFS,FCFS,101.393006993007,25.576923076923077,14.461538461538462,18.0,33.41818181818182,26,26,short_1000_processes.txt
100,5,3,961,10.75,15.928571428571429,9.75,21.928571428571427,6.0,18.285714285714285,13.0,0.5,0.39807852965747703,FCFS|HRRN|FCFS|FCFS,49,FCFS,HRRN,FCFS,FCFS,90.55,24.178571428571427,13.821428571428571,12.0,30.200000000000003,27,28,short_1000_processes.txt
125,4,4,952,11.875,14.982142857142858,10.0,26.0,13.375,17.696428571428573,17.0,0.625,0.3983122362869198,SJF|SJF|SJF|HRRN,2,SJF,SJF,SJF,HRRN,57.612903225806456,19.193548387096776,9.419354838709678,0.0,0.0,29,31,short_1000_processes.txt
150,2,4,941,16.333333333333332,8.266666666666667,13.0,42.0,16.333333333333332,139.06666666666666,32.0,0.5,0.39872068230277186,SJF|SJF|SJF|HRRN,2,SJF,SJF,SJF,HRRN,44.38461538461539,16.115384615384617,6.269230769230769,0.0,0.0,22,26,short_1000_processes.txt
175,0,3,932,17.666666666666668,5.333333333333334,8.0,39.0,28.666666666666668,456.3333333333333,41.0,0.3333333333333333,0.40043103448275863,FCFS|FCFS|FCFS|HRRN,41,FCFS,FCFS,FCFS,HRRN,49.86730769230769,14.461538461538462,4.730769230769231,5.0,0.7,23,26,short_1000_processes.txt
200,0,0,921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4014821272885789,HRRN|SJF|SJF|FCFS,55,HRRN,SJF,SJF,FCFS,51.19642857142857,12.625,2.1666666666666665,8.0,9.619047619047619,22,24,short_1000_processes.txt
225,0,3,915,13.666666666666666,14.333333333333332,7.0,7.0,0.0,0.0,0.0,0.6666666666666666,0.4017621145374449,FCFS|FCFS|SJF|FCFS,37,FCFS,FCFS,SJF,FCFS,66.12068965517241,14.517241379310345,4.103448275862069,11.0,8.0,29,29,short_1000_processes.txt
250,1,4,906,16.6,2.8000000000000003,10.0,46.5,4.2,9.2,8.0,0.6,0.4015151515151515,FCFS|HRRN|FCFS|FCFS,49,FCFS,HRRN,FCFS,FCFS,93.66433566433567,17.807692307692307,6.538461538461538,21.0,47.27272727272727,26,26,short_1000_processes.txt
275,3,4,897,10.571428571428571,31.61904761904762,8.142857142857142,20.476190476190478,4.285714285714286,6.238095238095238,7.0,0.7142857142857143,0.4016245487364621,FCFS|FCFS|FCFS|FCFS,40,FCFS,FCFS,FCFS,FCFS,102.97991071428572,23.214285714285715,12.5,19.0,43.0625,28,28,short_1000_processes.txt
300,6,2,886,14.125,30.125,11.875,35.267857142857146,8.0,11.714285714285714,13.0,0.5,0.4001823154056518,HRRN|HRRN|FCFS|HRRN,77,HRRN,HRRN,FCFS,HRRN,124.75476190476192,24.925925925925927,14.407407407407407,27.0,71.68571428571428,27,27,short_1000_processes.txt
325,6,4,879,12.1,20.988888888888894,8.3,25.56666666666667,12.5,57.166666666666664,22.0,0.5,0.40064545873674506,FCFS|FCFS|FCFS|HRRN,41,FCFS,FCFS,FCFS,HRRN,155.41175634710117,30.03448275862069,19.551724137931036,32.0,115.3021978021978,29,29,short_1000_processes.txt
350,11,4,869,10.533333333333333,27.40952380952381,9.4,27.97142857142857,12.2,37.885714285714286,20.0,0.6,0.39813519813519815,FCFS|FCFS|FCFS|FCFS,40,FCFS,FCFS,FCFS,FCFS,176.13243652898825,37.689655172413794,27.448275862068964,38.0,99.97802197802199,29,29,short_1000_processes.txt
375,11,4,859,13.533333333333333,23.98095238095238,11.266666666666667,36.63809523809524,16.6,71.82857142857144,28.0,0.4666666666666667,0.39830108541764986,FCFS|FCFS|HRRN|FCFS,43,FCFS,FCFS,HRRN,FCFS,174.2329306722689,35.17857142857143,24.464285714285715,38.0,122.36029411764707,27,28,short_1000_processes.txt
400,8,4,848,11.75,39.65909090909091,9.75,37.84090909090909,21.916666666666668,141.90151515151513,36.0,0.5833333333333334,0.39942666029622553,FCFS|FCFS|FCFS|FCFS,40,FCFS,FCFS,FCFS,FCFS,195.11749999999998,43.08,31.44,37.0,164.39,24,25,short_1000_processes.txt
425,10,3,839,12.846153846153847,27.14102564102564,11.615384615384615,34.756410256410255,18.23076923076923,105.35897435897436,40.0,0.6153846153846154,0.39922667955534075,FCFS|HRRN|FCFS|FCFS,49,FCFS,HRRN,FCFS,FCFS,199.513611615245,37.310344827586206,27.413793103448278,43.0,173.1578947368421,27,29,short_1000_processes.txt
450,12,4,830,11.875,32.25,11.0,29.6,19.625,123.31666666666666,38.0,0.5625,0.39862879529872675,FCFS|FCFS|FCFS|FCFS,40,FCFS,FCFS,FCFS,FCFS,254.1224110671937,49.4,37.84,52.0,255.5296442687747,25,25,short_1000_processes.txt
475,19,4,822,11.652173913043478,37.14624505928853,10.434782608695652,30.893280632411066,19.0,152.45454545454547,36.0,0.5652173913043478,0.39554455445544556,FCFS|FCFS|FCFS|FCFS,40,FCFS,FCFS,FCFS,FCFS,289.4904761904762,55.13333333333333,44.86666666666667,57.0,299.96190476190475,29,30,short_1000_processes.txt
500,20,4,814,10.458333333333334,40.17210144927537,8.875,35.15760869565217,26.875,151.5923913043478,44.0,0.5,0.39638735574510786,FCFS|HRRN|FCFS|FCFS,49,FCFS,HRRN,FCFS,FCFS,241.47595520421606,49.96969696969697,40.878787878787875,43.0,216.50988142292488,32,33,short_1000_processes.txt
525,15,4,801,12.052631578947368,30.497076023391813,9.842105263157896,35.69590643274854,33.526315789473685,307.04093567251465,55.0,0.5263157894736842,0.3971559167089893,HRRN|FCFS|FCFS|HRRN,68,HRRN,FCFS,FCFS,HRRN,231.74284055727554,48.0,38.588235294117645,42.0,196.6184210526316,33,34,short_1000_processes.txt
