time,ready_count,running_count,unfinished_count,burst_mean,burst_variance,remaining_mean,remaining_variance,wait_mean,wait_variance,max_wait_current,short_job_ratio,arrival_rate,best_combo,combo_class,core0_alg,core1_alg,core2_alg,core3_alg,score,score_avg_turnaround,score_avg_waiting,score_max_waiting_now,score_waiting_variance_now,score_context_switches,score_completed_count,workload_file
0,0,0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40080160320641284,SJF|SJF|HRRN|SJF,6,SJF,SJF,HRRN,SJF,0.11399818109156909,12.333333333333334,3.6666666666666665,43.0,269.4107142857143,34,30,short_1000_processes.txt
25,4,3,992,14.714285714285714,53.23809523809524,10.0,70.0,3.4285714285714284,18.28571428571428,10.0,0.5714285714285714,0.39878542510121456,SJF|SJF|SJF|SJF,0,SJF,SJF,SJF,SJF,0.08035872511811151,15.451612903225806,5.806451612903226,51.0,331.125,32,31,short_1000_processes.txt
50,2,4,980,16.166666666666668,10.966666666666667,12.166666666666666,68.16666666666667,17.833333333333332,110.16666666666667,33.0,0.3333333333333333,0.3983640081799591,SJF|FCFS|SJF|SJF,9,SJF,FCFS,SJF,SJF,0.0703043698257706,18.964285714285715,8.464285714285714,50.0,219.86111111111114,28,28,short_1000_processes.txt
75,3,4,970,14.142857142857142,29.80952380952381,11.428571428571429,45.952380952380956,13.285714285714286,138.57142857142858,35.0,0.42857142857142855,0.39793388429752063,SJF|SJF|SJF|SJF,0,SJF,SJF,SJF,SJF,0.02968441152437548,18.133333333333333,7.833333333333333,95.0,1273.2,30,30,short_1000_processes.txt
100,4,4,961,13.875,22.410714285714285,9.75,34.785714285714285,10.375,297.125,45.0,0.5,0.39807852965747703,SJF|SJF|SJF|SJF,0,SJF,SJF,SJF,SJF,0.04768235070283045,19.214285714285715,8.357142857142858,113.0,2323.7,28,28,short_1000_processes.txt
125,3,4,951,14.285714285714286,16.571428571428573,11.428571428571429,53.952380952380956,20.857142857142858,501.80952380952385,70.0,0.42857142857142855,0.3983122362869198,SJF|SJF|SJF|SJF,0,SJF,SJF,SJF,SJF,0.20660052398860052,21.0,10.733333333333333,0.0,0.0,26,30,short_1000_processes.txt
150,1,4,940,17.6,6.300000000000001,15.6,16.3,30.0,1404.0,95.0,0.4,0.39872068230277186,SJF|SJF|SJF|SJF,0,SJF,SJF,SJF,SJF,0.15316015809562983,18.68,8.84,0.0,0.0,24,25,short_1000_processes.txt
175,0,4,933,13.0,44.666666666666664,5.75,34.25,34.0,2790.0,113.0,0.5,0.40043103448275863,SJF|SJF|SJF|FCFS,1,SJF,SJF,SJF,FCFS,0.1755285103782695,15.518518518518519,6.185185185185185,9.0,10.3,26,27,short_1000_processes.txt
200,0,0,921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4014821272885789,SJF|SJF|FCFS|SJF,3,SJF,SJF,FCFS,SJF,0.07511130527434627,11.695652173913043,1.565217391304348,12.0,17.553571428571427,27,23,short_1000_processes.txt
225,0,3,915,13.666666666666666,14.333333333333332,7.0,7.0,0.0,0.0,0.0,0.6666666666666666,0.4017621145374449,SJF|SJF|SJF|SJF,0,SJF,SJF,SJF,SJF,0.09403612752555264,12.892857142857142,2.7857142857142856,34.0,113.94444444444446,29,28,short_1000_processes.txt
