combo_class,best_combo,count,workload_file
0,SPN|SPN|SPN|SPN,3,short_1000_processes.txt
1,SPN|SPN|SPN|SRT,0,short_1000_processes.txt
2,SPN|SPN|SPN|HRRN,0,short_1000_processes.txt
3,SPN|SPN|SRT|SPN,0,short_1000_processes.txt
4,SPN|SPN|SRT|SRT,0,short_1000_processes.txt
5,SPN|SPN|SRT|HRRN,0,short_1000_processes.txt
6,SPN|SPN|HRRN|SPN,0,short_1000_processes.txt
7,SPN|SPN|HRRN|SRT,0,short_1000_processes.txt
8,SPN|SPN|HRRN|HRRN,0,short_1000_processes.txt
9,SPN|SRT|SPN|SPN,0,short_1000_processes.txt
10,SPN|SRT|SPN|SRT,0,short_1000_processes.txt
11,SPN|SRT|SPN|HRRN,0,short_1000_processes.txt
12,SPN|SRT|SRT|SPN,0,short_1000_processes.txt
13,SPN|SRT|SRT|SRT,1,short_1000_processes.txt
14,SPN|SRT|SRT|HRRN,0,short_1000_processes.txt
15,SPN|SRT|HRRN|SPN,0,short_1000_processes.txt
16,SPN|SRT|HRRN|SRT,0,short_1000_processes.txt
17,SPN|SRT|HRRN|HRRN,1,short_1000_processes.txt
18,SPN|HRRN|SPN|SPN,0,short_1000_processes.txt
19,SPN|HRRN|SPN|SRT,0,short_1000_processes.txt
20,SPN|HRRN|SPN|HRRN,1,short_1000_processes.txt
21,SPN|HRRN|SRT|SPN,0,short_1000_processes.txt
22,SPN|HRRN|SRT|SRT,0,short_1000_processes.txt
23,SPN|HRRN|SRT|HRRN,0,short_1000_processes.txt
24,SPN|HRRN|HRRN|SPN,3,short_1000_processes.txt
25,SPN|HRRN|HRRN|SRT,1,short_1000_processes.txt
26,SPN|HRRN|HRRN|HRRN,68,short_1000_processes.txt
27,SRT|SPN|SPN|SPN,1,short_1000_processes.txt
28,SRT|SPN|SPN|SRT,0,short_1000_processes.txt
29,SRT|SPN|SPN|HRRN,0,short_1000_processes.txt
30,SRT|SPN|SRT|SPN,0,short_1000_processes.txt
31,SRT|SPN|SRT|SRT,0,short_1000_processes.txt
32,SRT|SPN|SRT|HRRN,0,short_1000_processes.txt
33,SRT|SPN|HRRN|SPN,0,short_1000_processes.txt
34,SRT|SPN|HRRN|SRT,0,short_1000_processes.txt
35,SRT|SPN|HRRN|HRRN,0,short_1000_processes.txt
36,SRT|SRT|SPN|SPN,0,short_1000_processes.txt
37,SRT|SRT|SPN|SRT,0,short_1000_processes.txt
38,SRT|SRT|SPN|HRRN,0,short_1000_processes.txt
39,SRT|SRT|SRT|SPN,0,short_1000_processes.txt
40,SRT|SRT|SRT|SRT,0,short_1000_processes.txt
41,SRT|SRT|SRT|HRRN,0,short_1000_processes.txt
42,SRT|SRT|HRRN|SPN,0,short_1000_processes.txt
43,SRT|SRT|HRRN|SRT,0,short_1000_processes.txt
44,SRT|SRT|HRRN|HRRN,1,short_1000_processes.txt
45,SRT|HRRN|SPN|SPN,0,short_1000_processes.txt
46,SRT|HRRN|SPN|SRT,0,short_1000_processes.txt
47,SRT|HRRN|SPN|HRRN,0,short_1000_processes.txt
48,SRT|HRRN|SRT|SPN,0,short_1000_processes.txt
49,SRT|HRRN|SRT|SRT,0,short_1000_processes.txt
50,SRT|HRRN|SRT|HRRN,0,short_1000_processes.txt
51,SRT|HRRN|HRRN|SPN,0,short_1000_processes.txt
52,SRT|HRRN|HRRN|SRT,1,short_1000_processes.txt
53,SRT|HRRN|HRRN|HRRN,34,short_1000_processes.txt
54,HRRN|SPN|SPN|SPN,0,short_1000_processes.txt
55,HRRN|SPN|SPN|SRT,0,short_1000_processes.txt
56,HRRN|SPN|SPN|HRRN,0,short_1000_processes.txt
