combo_class,best_combo,workload_file
0,SPN|SPN|SPN|SPN,short_1000_processes.txt
1,SPN|SPN|SPN|SRT,short_1000_processes.txt
2,SPN|SPN|SPN|HRRN,short_1000_processes.txt
3,SPN|SPN|SRT|SPN,short_1000_processes.txt
4,SPN|SPN|SRT|SRT,short_1000_processes.txt
5,SPN|SPN|SRT|HRRN,short_1000_processes.txt
6,SPN|SPN|HRRN|SPN,short_1000_processes.txt
7,SPN|SPN|HRRN|SRT,short_1000_processes.txt
8,SPN|SPN|HRRN|HRRN,short_1000_processes.txt
9,SPN|SRT|SPN|SPN,short_1000_processes.txt
10,SPN|SRT|SPN|SRT,short_1000_processes.txt
11,SPN|SRT|SPN|HRRN,short_1000_processes.txt
12,SPN|SRT|SRT|SPN,short_1000_processes.txt
13,SPN|SRT|SRT|SRT,short_1000_processes.txt
14,SPN|SRT|SRT|HRRN,short_1000_processes.txt
15,SPN|SRT|HRRN|SPN,short_1000_processes.txt
16,SPN|SRT|HRRN|SRT,short_1000_processes.txt
17,SPN|SRT|HRRN|HRRN,short_1000_processes.txt
18,SPN|HRRN|SPN|SPN,short_1000_processes.txt
19,SPN|HRRN|SPN|SRT,short_1000_processes.txt
20,SPN|HRRN|SPN|HRRN,short_1000_processes.txt
21,SPN|HRRN|SRT|SPN,short_1000_processes.txt
22,SPN|HRRN|SRT|SRT,short_1000_processes.txt
23,SPN|HRRN|SRT|HRRN,short_1000_processes.txt
24,SPN|HRRN|HRRN|SPN,short_1000_processes.txt
25,SPN|HRRN|HRRN|SRT,short_1000_processes.txt
26,SPN|HRRN|HRRN|HRRN,short_1000_processes.txt
27,SRT|SPN|SPN|SPN,short_1000_processes.txt
28,SRT|SPN|SPN|SRT,short_1000_processes.txt
29,SRT|SPN|SPN|HRRN,short_1000_processes.txt
30,SRT|SPN|SRT|SPN,short_1000_processes.txt
31,SRT|SPN|SRT|SRT,short_1000_processes.txt
32,SRT|SPN|SRT|HRRN,short_1000_processes.txt
33,SRT|SPN|HRRN|SPN,short_1000_processes.txt
34,SRT|SPN|HRRN|SRT,short_1000_processes.txt
35,SRT|SPN|HRRN|HRRN,short_1000_processes.txt
36,SRT|SRT|SPN|SPN,short_1000_processes.txt
37,SRT|SRT|SPN|SRT,short_1000_processes.txt
38,SRT|SRT|SPN|HRRN,short_1000_processes.txt
39,SRT|SRT|SRT|SPN,short_1000_processes.txt
40,SRT|SRT|SRT|SRT,short_1000_processes.txt
41,SRT|SRT|SRT|HRRN,short_1000_processes.txt
