time,ready_count,running_count,unfinished_count,burst_mean,burst_variance,remaining_mean,remaining_variance,wait_mean,wait_variance,max_wait_current,short_job_ratio,arrival_rate,best_combo,combo_class,core0_alg,core1_alg,core2_alg,core3_alg,score,score_avg_waiting_now,score_max_waiting_now,score_waiting_variance_now,score_avg_remaining_now,score_avg_response_started,score_completed_count,score_unfinished_count_end,workload_file
0,0,0,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3994726960412256,HRRN|HRRN|HRRN|SPN,78,HRRN,HRRN,HRRN,SPN,16.536458333333336,11.11111111111111,26.0,59.111111111111114,9.88888888888889,7.03125,29,9,short_1000_processes.txt
25,4,3,9992,14.714285714285714,53.23809523809524,10.0,53.333333333333336,3.4285714285714284,11.61904761904762,9.0,0.5714285714285714,0.39927223288547664,HRRN|HRRN|HRRN|HRRN,80,HRRN,HRRN,HRRN,HRRN,5.0805952380952375,6.0,11.0,17.142857142857142,9.75,11.466666666666667,31,8,short_1000_processes.txt
50,4,4,9982,12.5,38.57142857142857,9.125,36.69642857142857,13.25,30.785714285714285,20.0,0.5,0.39923147740463516,HRRN|SPN|HRRN|HRRN,62,HRRN,SPN,HRRN,HRRN,12.403333333333332,11.333333333333334,19.0,40.0,11.0,11.033333333333333,30,9,short_1000_processes.txt
75,4,4,9971,13.375,30.267857142857142,10.0,48.857142857142854,12.75,68.78571428571429,26.0,0.5,0.3991906402756631,HRRN|SPN|HRRN|HRRN,62,HRRN,SPN,HRRN,HRRN,18.275,12.625,23.0,69.125,10.125,12.0,29,8,short_1000_processes.txt
100,4,4,9961,11.5,12.285714285714286,9.75,20.785714285714285,7.25,70.78571428571429,27.0,0.5,0.3992058398844858,HRRN|HRRN|HRRN|HRRN,80,HRRN,HRRN,HRRN,HRRN,11.423571428571428,8.2,16.0,44.7,8.2,12.285714285714286,28,5,short_1000_processes.txt
125,4,4,9952,13.0,17.714285714285715,10.0,30.285714285714285,12.75,20.785714285714285,19.0,0.625,0.3992291633210214,SPN|SRT|SRT|SRT,13,SPN,SRT,SRT,SRT,-3.957407407407407,0.0,0.0,0.0,0.0,6.925925925925926,31,0,short_1000_processes.txt
150,2,4,9941,17.0,4.0,13.0,34.0,19.833333333333332,159.76666666666668,32.0,0.5,0.39926857694007956,SRT|SPN|SPN|SPN,27,SRT,SPN,SPN,SPN,-2.4379999999999997,0.0,0.0,0.0,7.4,3.52,26,5,short_1000_processes.txt
175,0,3,9932,17.666666666666668,5.333333333333334,8.0,19.0,28.666666666666668,386.3333333333333,41.0,0.3333333333333333,0.39942875533027594,SPN|HRRN|HRRN|SPN,24,SPN,HRRN,HRRN,SPN,0.7251851851851847,4.2,6.0,1.2,10.0,1.8518518518518519,26,5,short_1000_processes.txt
200,0,0,9921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3995248067010309,SRT|HRRN|HRRN|SRT,52,SRT,HRRN,HRRN,SRT,2.989285714285714,4.428571428571429,9.0,10.619047619047619,8.285714285714286,1.75,24,7,short_1000_processes.txt
225,0,3,9915,13.666666666666666,14.333333333333332,7.333333333333333,5.333333333333333,0.3333333333333333,0.33333333333333337,1.0,0.6666666666666666,0.39954853273137697,SPN|HRRN|HRRN|HRRN,26,SPN,HRRN,HRRN,HRRN,5.061488095238095,8.125,12.0,10.982142857142858,12.0,5.266666666666667,29,8,short_1000_processes.txt
250,2,3,9906,16.6,2.8,10.2,42.2,4.4,1.2999999999999998,6.0,0.4,0.3995238479541603,HRRN|HRRN|HRRN|HRRN,80,HRRN,HRRN,HRRN,HRRN,15.478047138047133,13.0,22.0,53.6,7.636363636363637,7.925925925925926,26,11,short_1000_processes.txt
275,4,3,9897,10.571428571428571,31.61904761904762,8.285714285714286,28.238095238095237,4.428571428571429,10.619047619047619,9.0,0.7142857142857143,0.39953138886644585,HRRN|HRRN|HRRN|HRRN,80,HRRN,HRRN,HRRN,HRRN,16.989761904761902,11.5,24.0,61.5,11.142857142857142,11.433333333333334,30,14,short_1000_processes.txt
300,5,4,9887,14.666666666666666,29.000000000000004,10.666666666666666,35.5,8.88888888888889,16.111111111111107,17.0,0.4444444444444444,0.3994015849911046,HRRN|HRRN|HRRN|HRRN,80,HRRN,HRRN,HRRN,HRRN,21.817857142857143,16.666666666666668,27.0,72.80952380952381,11.333333333333334,16.464285714285715,28,15,short_1000_processes.txt
325,7,4,9880,12.454545454545455,20.272727272727273,7.636363636363637,24.454545454545457,13.0,53.6,22.0,0.5454545454545454,0.399441453838993,HRRN|HRRN|HRRN|HRRN,80,HRRN,HRRN,HRRN,HRRN,42.08696969696969,22.636363636363637,39.0,180.05454545454546,10.727272727272727,18.78787878787879,33,11,short_1000_processes.txt
350,10,3,9867,11.615384615384615,22.423076923076923,10.923076923076923,30.076923076923077,12.384615384615385,54.756410256410255,24.0,0.38461538461538464,0.39922213669327067,HRRN|HRRN|HRRN|HRRN,80,HRRN,HRRN,HRRN,HRRN,43.61525198938991,19.307692307692307,47.0,174.56410256410254,11.692307692307692,23.344827586206897,28,13,short_1000_processes.txt
375,11,4,9859,13.533333333333333,23.98095238095238,11.333333333333334,30.666666666666668,16.666666666666668,72.80952380952381,27.0,0.5333333333333333,0.39923753903556797,HRRN|HRRN|HRRN|HRRN,80,HRRN,HRRN,HRRN,HRRN,43.9515863169089,21.285714285714285,43.0,182.52747252747255,12.642857142857142,21.903225806451612,31,14,short_1000_processes.txt
