combo_class,best_combo,count,workload_file
0,SJF|SJF|SJF|SJF,97,short_1000_processes.txt
1,SJF|SJF|SJF|FCFS,2,short_1000_processes.txt
2,SJF|SJF|SJF|HRRN,0,short_1000_processes.txt
3,SJF|SJF|FCFS|SJF,2,short_1000_processes.txt
4,SJF|SJF|FCFS|FCFS,0,short_1000_processes.txt
5,SJF|SJF|FCFS|HRRN,0,short_1000_processes.txt
6,SJF|SJF|HRRN|SJF,0,short_1000_processes.txt
7,SJF|SJF|HRRN|FCFS,0,short_1000_processes.txt
8,SJF|SJF|HRRN|HRRN,0,short_1000_processes.txt
9,SJF|FCFS|SJF|SJF,1,short_1000_processes.txt
10,SJF|FCFS|SJF|FCFS,0,short_1000_processes.txt
11,SJF|FCFS|SJF|HRRN,0,short_1000_processes.txt
12,SJF|FCFS|FCFS|SJF,1,short_1000_processes.txt
13,SJF|FCFS|FCFS|FCFS,0,short_1000_processes.txt
14,SJF|FCFS|FCFS|HRRN,0,short_1000_processes.txt
15,SJF|FCFS|HRRN|SJF,0,short_1000_processes.txt
16,SJF|FCFS|HRRN|FCFS,0,short_1000_processes.txt
17,SJF|FCFS|HRRN|HRRN,0,short_1000_processes.txt
18,SJF|HRRN|SJF|SJF,0,short_1000_processes.txt
19,SJF|HRRN|SJF|FCFS,0,short_1000_processes.txt
20,SJF|HRRN|SJF|HRRN,0,short_1000_processes.txt
21,SJF|HRRN|FCFS|SJF,0,short_1000_processes.txt
22,SJF|HRRN|FCFS|FCFS,0,short_1000_processes.txt
23,SJF|HRRN|FCFS|HRRN,0,short_1000_processes.txt
24,SJF|HRRN|HRRN|SJF,0,short_1000_processes.txt
25,SJF|HRRN|HRRN|FCFS,0,short_1000_processes.txt
26,SJF|HRRN|HRRN|HRRN,0,short_1000_processes.txt
27,FCFS|SJF|SJF|SJF,4,short_1000_processes.txt
28,FCFS|SJF|SJF|FCFS,0,short_1000_processes.txt
29,FCFS|SJF|SJF|HRRN,0,short_1000_processes.txt
30,FCFS|SJF|FCFS|SJF,0,short_1000_processes.txt
31,FCFS|SJF|FCFS|FCFS,0,short_1000_processes.txt
32,FCFS|SJF|FCFS|HRRN,0,short_1000_processes.txt
33,FCFS|SJF|HRRN|SJF,1,short_1000_processes.txt
34,FCFS|SJF|HRRN|FCFS,0,short_1000_processes.txt
