time,ready_count,running_count,unfinished_count,burst_mean,burst_variance,remaining_mean,remaining_variance,wait_mean,wait_variance,max_wait_current,short_job_ratio,arrival_rate,best_combo,combo_class,core0_alg,core1_alg,core2_alg,core3_alg,score,score_avg_turnaround,score_avg_waiting,score_max_waiting_now,score_waiting_variance_now,score_context_switches,score_completed_count,workload_file
0,0,0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40080160320641284,FCFS|SJF|HRRN|SJF,33,FCFS,SJF,HRRN,SJF,0.2835119809734503,13.428571428571429,4.607142857142857,25.0,77.78888888888888,32,28,short_1000_processes.txt
25,4,3,992,14.714285714285714,53.23809523809524,10.0,70.0,3.4285714285714284,18.28571428571428,10.0,0.5714285714285714,0.39878542510121456,SJF|SJF|SJF|SJF,0,SJF,SJF,SJF,SJF,0.2538856931372495,15.451612903225806,5.806451612903226,51.0,331.125,32,31,short_1000_processes.txt
50,2,4,980,16.166666666666668,10.966666666666667,12.166666666666666,68.16666666666667,17.833333333333332,110.16666666666667,33.0,0.3333333333333333,0.3983640081799591,SJF|SJF|SJF|SJF,0,SJF,SJF,SJF,SJF,0.2561930109224346,19.620689655172413,9.206896551724139,30.0,119.83928571428571,29,29,short_1000_processes.txt
75,3,4,970,14.142857142857142,29.80952380952381,11.428571428571429,68.28571428571429,13.285714285714286,231.2380952380952,43.0,0.5714285714285714,0.39793388429752063,SJF|SJF|SJF|SJF,0,SJF,SJF,SJF,SJF,0.25345607266028813,18.517241379310345,8.413793103448276,37.0,238.33333333333334,28,29,short_1000_processes.txt
100,4,4,961,14.0,24.0,9.75,25.071428571428573,13.375,331.125,51.0,0.5,0.39807852965747703,SJF|SJF|SJF|SJF,0,SJF,SJF,SJF,SJF,0.2811478704242411,20.689655172413794,10.0,46.0,494.9166666666667,28,29,short_1000_processes.txt
125,3,4,951,14.571428571428571,11.61904761904762,11.428571428571429,34.952380952380956,15.857142857142858,103.14285714285715,30.0,0.5714285714285714,0.3983122362869198,SJF|SJF|SJF|SJF,0,SJF,SJF,SJF,SJF,0.27719588170995807,19.533333333333335,9.2,0.0,0.0,26,30,short_1000_processes.txt
150,3,3,941,17.333333333333332,3.866666666666667,13.0,47.2,21.0,210.4,37.0,0.5,0.39872068230277186,SJF|SJF|SJF|SJF,0,SJF,SJF,SJF,SJF,0.2551422324591588,17.384615384615383,7.3076923076923075,0.0,0.0,26,26,short_1000_processes.txt
175,0,3,932,15.666666666666666,33.33333333333333,7.666666666666667,82.33333333333333,29.0,427.0,46.0,0.6666666666666666,0.40043103448275863,SJF|FCFS|FCFS|SJF,12,SJF,FCFS,FCFS,SJF,0.19789547176804073,14.076923076923077,4.576923076923077,6.0,1.2,27,26,short_1000_processes.txt
200,0,0,921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4014821272885789,SJF|SJF|FCFS|SJF,3,SJF,SJF,FCFS,SJF,0.24137160332536145,11.695652173913043,1.565217391304348,12.0,17.553571428571427,27,23,short_1000_processes.txt
225,0,3,915,13.666666666666666,14.333333333333332,7.0,7.0,0.0,0.0,0.0,0.6666666666666666,0.4017621145374449,SJF|FCFS|SJF|SJF,9,SJF,FCFS,SJF,SJF,0.2546061492053787,12.793103448275861,2.896551724137931,22.0,68.98214285714286,29,29,short_1000_processes.txt
250,1,4,906,16.6,2.8,10.0,53.5,4.2,8.200000000000001,8.0,0.4,0.4015151515151515,FCFS|SJF|SJF|SJF,27,FCFS,SJF,SJF,SJF,0.2313648255709408,14.724137931034482,4.103448275862069,37.0,253.26785714285714,29,29,short_1000_processes.txt
275,3,4,897,10.571428571428571,31.61904761904762,8.142857142857142,42.80952380952382,4.285714285714286,18.238095238095237,11.0,0.7142857142857143,0.4016245487364621,SJF|SJF|SJF|SJF,0,SJF,SJF,SJF,SJF,0.2249096702497559,12.424242424242424,3.3636363636363638,84.0,855.0,33,33,short_1000_processes.txt
300,5,3,886,16.0,14.857142857142858,11.875,41.267857142857146,9.875,109.26785714285714,34.0,0.5,0.4001823154056518,SJF|SJF|SJF|SJF,0,SJF,SJF,SJF,SJF,0.21087769232575795,14.533333333333333,4.233333333333333,109.0,1283.2424242424242,31,30,short_1000_processes.txt
325,4,3,876,13.285714285714286,24.23809523809524,11.857142857142858,43.142857142857146,19.714285714285715,539.2380952380952,59.0,0.42857142857142855,0.40064545873674506,SJF|SJF|SJF|SJF,0,SJF,SJF,SJF,SJF,0.21799039235203638,16.0625,6.96875,134.0,2181.4285714285716,33,32,short_1000_processes.txt
