boundary_time,epoch_end,tie_count_at_boundary,tied_combos,selected_combo,workload_file
50,125,2,FCFS|SJF|HRRN|SJF ; FCFS|HRRN|SJF|SJF,FCFS|HRRN|SJF|SJF,short_1000_processes.txt
175,250,6,SJF|HRRN|FCFS|SJF ; SJF|HRRN|HRRN|SJF ; FCFS|HRRN|FCFS|SJF ; FCFS|HRRN|HRRN|SJF ; HRRN|HRRN|FCFS|SJF ; HRRN|HRRN|HRRN|SJF,HRRN|HRRN|HRRN|SJF,short_1000_processes.txt
200,275,4,SJF|SJF|FCFS|SJF ; SJF|SJF|HRRN|SJF ; FCFS|SJF|FCFS|SJF ; FCFS|SJF|HRRN|SJF,SJF|SJF|FCFS|SJF,short_1000_processes.txt
475,550,2,SJF|SJF|FCFS|FCFS ; SJF|SJF|HRRN|FCFS,SJF|SJF|HRRN|FCFS,short_1000_processes.txt
650,725,2,SJF|FCFS|SJF|SJF ; SJF|HRRN|SJF|SJF,SJF|FCFS|SJF|SJF,short_1000_processes.txt
875,950,2,SJF|SJF|FCFS|SJF ; SJF|SJF|HRRN|SJF,SJF|SJF|HRRN|SJF,short_1000_processes.txt
1450,1525,2,SJF|SJF|FCFS|SJF ; SJF|SJF|HRRN|SJF,SJF|SJF|FCFS|SJF,short_1000_processes.txt
1500,1575,2,SJF|FCFS|SJF|SJF ; SJF|HRRN|SJF|SJF,SJF|FCFS|SJF|SJF,short_1000_processes.txt
2500,2575,4,SJF|FCFS|FCFS|SJF ; SJF|FCFS|HRRN|SJF ; SJF|HRRN|FCFS|SJF ; SJF|HRRN|HRRN|SJF,SJF|HRRN|HRRN|SJF,short_1000_processes.txt
2525,2600,8,FCFS|FCFS|SJF|FCFS ; FCFS|FCFS|SJF|HRRN ; FCFS|HRRN|SJF|FCFS ; FCFS|HRRN|SJF|HRRN ; HRRN|FCFS|SJF|FCFS ; HRRN|FCFS|SJF|HRRN ; HRRN|HRRN|SJF|FCFS ; HRRN|HRRN|SJF|HRRN,HRRN|HRRN|SJF|FCFS,short_1000_processes.txt
