# Generated workload
name,arrival,burst
1,0,85
2,5,52
3,10,80
4,10,76
5,11,65
6,14,88
7,18,85
8,21,89
9,23,100
10,23,99
11,27,99
12,32,83
13,33,58
14,33,53
15,35,53
16,35,75
17,37,83
18,37,85
19,41,97
20,41,66
21,46,96
22,48,91
23,49,85
24,52,81
25,53,83
26,54,74
27,59,98
28,60,83
29,65,54
30,68,67
31,69,59
32,74,54
33,75,94
34,78,89
35,83,68
36,88,60
37,92,86
38,97,92
39,102,96
40,104,76
41,106,60
42,106,65
43,109,98
44,114,58
45,116,96
46,121,83
47,124,63
48,124,69
49,126,55
50,129,52
51,132,68
52,137,74
53,138,72
54,140,98
55,142,52
56,143,75
57,144,96
58,149,73
59,151,84
60,156,61
61,158,62
62,163,51
63,168,55
64,171,74
65,173,76
66,175,68
67,179,86
68,183,82
69,183,99
70,184,96
71,184,73
72,185,85
73,190,82
74,194,61
75,196,71
76,201,58
77,204,89
78,209,53
79,214,94
80,216,52
81,218,93
82,223,53
83,225,65
84,226,63
85,227,98
86,229,62
87,233,66
88,237,70
89,242,57
90,245,96
91,246,59
92,246,55
93,246,95
94,250,79
95,254,79
96,259,100
97,259,84
98,259,88
99,260,65
100,264,55
101,269,93
102,270,81
103,271,58
104,274,91
105,276,64
106,276,76
107,276,96
108,276,55
109,280,98
110,284,81
111,286,74
112,286,79
113,290,76
114,294,96
115,298,50
116,298,61
117,299,51
118,299,87
119,299,71
120,302,57
121,306,58
122,310,83
123,310,65
124,315,74
125,317,80
126,322,94
127,325,66
128,330,68
129,334,57
130,339,76
131,339,89
132,344,63
133,347,73
134,351,100
135,353,58
136,353,54
137,355,88
138,355,57
139,359,90
140,363,68
141,363,84
142,365,64
143,366,75
144,370,80
145,372,51
146,376,58
147,379,62
148,380,96
149,381,63
150,385,88
151,389,59
152,389,65
153,392,67
154,394,71
155,397,54
156,397,66
157,397,94
158,402,96
159,404,58
160,408,84
161,411,97
162,411,73
163,416,51
164,418,65
165,421,75
166,424,77
167,429,52
168,433,94
169,433,57
170,438,58
171,441,99
172,441,52
173,442,53
174,446,63
175,448,74
176,451,88
177,451,98
178,451,74
179,452,93
180,455,54
181,457,97
182,458,56
183,459,99
184,460,66
185,462,72
186,462,77
187,466,85
188,467,77
189,471,56
190,474,90
191,477,77
192,481,91
193,482,89
194,483,83
195,485,68
196,490,52
197,490,65
198,492,85
199,492,100
200,496,78
201,497,71
202,499,65
203,502,92
204,506,97
205,510,58
206,513,52
207,514,64
208,519,73
209,523,96
210,523,53
211,523,92
212,525,78
213,530,94
214,530,88
215,530,82
216,532,86
217,536,95
218,536,68
219,538,86
220,539,51
221,544,78
222,546,87
223,547,75
224,551,95
225,555,89
226,560,76
227,564,86
228,567,99
229,572,68
230,576,91
231,580,98
232,584,97
233,589,93
234,594,98
235,597,55
236,601,68
237,602,84
238,604,87
239,607,90
240,611,65
241,612,71
242,616,56
243,618,51
244,622,69
245,626,89
246,627,61
247,628,56
248,629,99
