# Generated workload
name,arrival,burst
1,0,52
2,1,17
3,2,62
4,7,59
5,12,79
6,14,19
7,14,19
8,15,18
9,15,4
10,18,8
11,18,14
12,22,18
13,25,10
14,25,50
15,27,9
16,27,13
17,27,9
18,31,1
19,36,10
20,41,1
21,41,4
22,44,5
23,48,6
24,52,58
25,54,72
26,54,1
27,59,14
28,63,14
29,63,7
30,63,6
31,68,6
32,73,60
33,74,18
34,74,18
35,75,15
36,80,12
37,82,10
38,85,6
39,87,7
40,91,4
41,91,71
42,92,11
43,96,6
44,99,18
45,103,13
46,103,78
47,105,1
48,106,72
49,110,17
50,110,19
51,113,84
52,116,69
53,117,64
54,119,11
55,124,12
56,128,2
57,130,12
58,134,11
59,137,20
60,137,62
61,140,18
62,141,69
63,143,5
64,146,11
65,151,74
66,151,12
67,155,2
68,155,6
69,156,63
70,157,17
71,161,2
72,161,7
73,163,3
74,164,19
75,168,8
76,168,16
77,170,4
78,175,65
79,180,20
80,185,20
81,186,11
82,191,2
83,192,93
84,195,17
85,200,5
86,204,18
87,208,17
88,213,99
89,215,19
90,218,8
91,218,19
92,218,16
93,219,10
94,223,20
95,228,10
96,230,9
97,232,52
98,235,6
99,240,13
100,245,11
101,247,10
102,250,19
103,250,1
104,255,71
105,259,17
106,260,17
107,262,19
108,267,88
109,272,14
110,274,11
111,277,8
112,282,14
113,287,18
114,287,17
115,289,7
116,291,16
117,296,78
118,301,15
119,304,4
120,309,7
121,311,1
122,314,7
123,317,5
124,318,95
125,322,1
126,323,14
127,327,11
128,328,11
129,333,6
130,334,58
131,339,11
132,340,65
133,342,11
134,342,78
135,343,94
136,343,58
137,344,81
138,344,100
139,348,2
140,352,72
141,354,15
142,354,5
143,354,57
144,357,62
145,360,9
146,362,16
147,365,60
148,365,8
149,370,5
150,373,1
151,376,15
152,381,5
153,382,18
154,387,95
155,392,74
156,394,85
157,399,1
158,401,11
159,403,2
160,404,7
161,409,1
162,412,18
163,416,10
164,417,58
165,420,7
166,424,2
167,426,14
168,426,61
169,431,8
170,434,5
171,437,19
172,437,93
173,438,86
174,441,11
175,446,56
176,449,2
177,452,15
178,452,3
179,454,6
180,454,87
181,455,89
182,455,20
183,458,4
184,461,54
185,465,8
186,470,19
187,475,3
188,480,19
189,483,20
190,484,71
191,485,55
192,486,76
193,486,18
194,487,17
195,488,15
196,493,79
197,493,20
198,497,18
199,501,6
200,505,2
201,508,60
202,513,1
203,513,6
204,516,18
205,516,9
206,519,12
207,523,5
208,528,16
209,531,86
210,534,1
211,539,9
212,542,90
213,544,11
214,545,7
215,548,9
216,551,18
217,553,50
218,558,9
219,561,15
220,564,2
221,567,89
222,571,15
223,572,5
224,575,20
225,576,5
226,579,3
227,584,13
228,586,51
229,586,16
230,586,14
231,586,13
232,590,7
233,590,13
234,593,16
235,597,3
236,598,17
237,599,6
238,601,93
239,603,73
240,608,3
241,611,3
242,615,20
243,619,18
244,619,1
245,624,50
246,629,13
247,632,4
248,634,80
249,637,2
250,640,2
251,642,77
252,646,15
253,650,5
254,655,14
255,655,11
256,655,86
257,655,80
258,655,16
259,659,1
260,664,73
261,664,92
262,666,6
263,671,8
264,676,6
265,676,93
266,677,16
267,679,20
268,682,79
269,687,11
270,692,88
271,695,15
272,700,6
273,702,92
274,707,9
275,712,2
276,714,68
277,714,7
278,717,100
279,722,3
280,723,99
281,727,15
282,730,13
283,735,20
284,738,4
285,743,13
286,743,11
287,745,3
288,748,2
289,750,20
290,755,17
291,755,87
292,759,53
293,760,11
294,764,10
295,769,72
296,772,71
297,772,19
298,776,6
299,778,8
300,780,78
301,785,4
302,785,53
303,790,3
304,794,93
305,797,20
306,801,11
307,805,60
308,805,86
309,808,92
310,809,92
311,812,7
312,817,84
313,817,2
