# Generated workload
name,arrival,burst
1,0,4
2,0,9
3,1,8
4,2,4
5,7,18
6,7,19
7,10,2
8,10,3
9,11,8
10,15,20
11,15,18
12,16,18
13,19,8
14,22,19
15,24,1
16,25,14
17,27,9
18,28,7
19,30,4
20,30,13
21,30,12
22,32,20
23,34,2
24,39,15
25,43,4
26,46,3
27,50,10
28,55,20
29,57,19
30,58,3
31,58,8
32,60,3
33,61,4
34,64,9
35,67,12
36,68,12
37,70,7
38,75,9
39,80,3
40,84,6
41,88,8
42,89,15
43,92,9
44,97,18
45,98,11
46,98,8
47,98,11
48,101,9
49,101,7
50,105,11
51,106,16
52,109,15
53,110,9
54,111,8
55,116,18
56,120,9
57,125,19
58,128,19
59,131,12
60,132,5
61,136,16
62,136,2
63,136,5
64,141,6
65,146,14
66,150,3
67,153,13
68,157,15
69,161,9
70,165,1
71,170,4
72,175,18
73,177,11
74,177,10
75,180,6
76,183,1
77,188,9
78,192,6
79,196,4
80,201,10
81,206,17
82,210,7
83,211,12
84,212,18
85,216,1
86,220,11
87,223,1
88,223,12
89,225,8
90,225,8
91,229,3
92,229,16
93,229,18
94,230,5
95,235,16
96,239,6
97,241,17
98,245,14
99,246,18
100,251,7
101,256,10
102,259,12
103,262,17
104,265,4
105,266,8
106,266,11
107,266,19
108,270,8
109,274,8
110,274,3
111,279,2
112,280,3
113,280,11
114,280,17
115,281,9
116,286,16
117,287,18
118,288,19
119,292,16
120,293,16
121,296,7
122,296,4
123,301,14
124,303,14
125,306,15
126,311,2
127,316,4
128,316,13
129,321,11
130,321,8
131,322,7
132,326,15
133,327,14
134,328,9
135,331,8
136,331,15
137,335,4
138,335,18
139,335,3
140,336,6
141,339,16
142,342,7
143,345,2
144,346,13
145,346,13
146,348,15
147,350,14
148,355,18
149,360,16
150,361,7
151,363,7
152,363,19
153,368,18
154,368,11
155,368,2
156,372,16
157,376,17
158,377,2
159,381,3
160,382,3
161,386,3
162,391,8
163,394,4
164,398,8
165,402,20
166,402,20
167,402,14
168,407,19
169,411,17
170,413,9
171,414,11
172,415,9
173,418,5
174,423,10
175,426,11
176,426,1
177,429,20
178,433,4
179,433,18
180,434,17
181,436,5
182,438,3
183,439,12
184,441,6
185,444,18
186,449,10
187,453,17
188,453,18
189,455,4
190,456,9
191,456,4
192,461,18
193,462,9
194,464,20
195,465,11
196,466,9
197,470,16
198,472,2
199,472,14
200,474,2
201,474,11
202,475,9
203,476,15
204,480,14
205,484,1
206,484,3
207,489,5
208,493,2
209,495,19
210,499,5
211,502,5
212,502,10
213,504,2
214,506,7
215,511,8
216,516,4
217,518,18
218,521,20
219,526,5
220,527,6
221,528,14
222,528,6
223,533,11
224,536,8
225,538,6
226,543,4
227,546,2
228,549,8
229,550,15
230,552,10
231,553,8
232,553,7
233,556,11
234,558,3
235,560,12
236,565,17
237,568,18
238,570,1
239,570,9
240,571,19
241,573,2
242,573,20
243,576,12
244,581,11
245,584,20
246,588,4
247,591,19
248,592,9
249,592,14
250,592,17
251,596,7
252,598,14
253,598,11
254,602,11
255,607,4
256,612,10
257,616,10
258,621,14
259,623,13
260,628,10
261,632,5
262,633,14
263,638,13
264,643,6
265,647,19
266,649,13
267,653,1
268,655,10
269,656,14
