# Generated workload
name,arrival,burst
1,0,95
2,2,75
3,7,91
4,9,78
5,13,78
6,13,65
7,14,54
8,16,51
9,20,85
10,21,87
11,22,50
12,22,95
13,27,53
14,28,54
15,28,71
16,28,82
17,29,67
18,34,81
19,35,84
20,36,96
21,40,86
22,43,65
23,46,76
24,47,56
25,47,92
26,50,72
27,53,76
28,56,96
29,56,93
30,61,91
31,61,53
32,64,96
33,66,56
34,67,62
35,68,84
36,71,58
37,74,61
38,76,79
39,77,54
40,80,85
41,80,53
42,85,84
43,85,55
44,86,60
45,89,81
46,92,63
47,95,53
48,96,74
49,96,74
50,98,100
51,101,68
52,104,94
53,109,100
54,113,92
55,118,81
56,119,62
57,121,63
58,121,87
59,126,84
60,126,97
61,128,53
62,128,87
63,131,82
64,135,60
65,135,82
66,135,61
67,135,88
68,135,93
69,136,75
70,136,86
71,137,87
72,141,52
73,145,55
74,148,92
75,152,86
76,156,70
77,158,63
78,163,95
79,165,65
80,167,75
81,168,92
82,173,69
83,176,70
84,176,50
85,179,89
86,183,56
87,183,84
88,184,82
89,186,58
90,188,54
91,189,73
92,191,60
93,194,84
94,199,69
95,203,91
96,207,50
97,212,85
98,214,92
99,214,58
100,216,57
