# Generated workload
name,arrival,burst
1,0,1
2,2,92
3,5,10
4,5,65
5,8,2
6,9,3
7,9,17
8,12,12
9,15,3
10,19,58
11,24,3
12,28,14
13,33,8
14,35,70
15,38,11
16,40,8
17,40,5
18,44,56
19,45,11
20,48,72
21,49,15
22,51,3
23,52,10
24,57,2
25,58,11
26,59,65
27,61,2
28,66,61
29,66,15
30,70,8
31,70,5
32,70,99
33,71,75
34,73,3
35,77,3
36,77,7
37,82,5
38,82,11
39,82,79
40,82,86
41,85,13
42,88,93
43,91,63
44,92,78
45,93,89
46,97,68
47,100,18
48,103,67
49,106,62
50,111,17
51,112,18
52,112,12
53,115,16
54,117,17
55,119,6
56,119,8
57,119,9
58,119,16
59,123,19
60,124,4
61,125,9
62,129,2
63,130,13
64,132,6
65,133,70
66,138,19
67,138,12
68,142,19
69,143,16
70,147,16
71,147,64
72,151,83
73,154,89
74,155,11
75,160,70
76,160,87
77,165,4
78,169,3
79,171,13
80,175,69
81,177,60
82,182,16
83,187,18
84,192,20
85,194,87
86,195,10
87,196,50
88,201,13
89,205,88
90,207,20
91,208,4
92,211,97
93,211,70
94,212,3
95,217,11
96,220,63
97,221,12
98,223,1
99,223,14
100,224,16
101,227,13
102,227,19
103,232,8
104,233,2
105,235,66
106,235,60
107,238,54
108,242,3
109,244,20
110,247,14
111,252,77
112,253,71
113,254,14
114,259,18
115,261,10
116,262,75
117,266,16
118,267,50
119,270,92
120,275,7
121,275,60
122,280,55
123,283,10
124,286,9
125,286,13
126,287,13
127,289,52
128,291,9
129,292,19
130,292,94
131,297,92
132,299,14
133,303,53
134,306,14
135,310,16
136,314,16
137,316,95
138,316,17
139,320,20
140,321,98
141,324,60
142,325,5
143,325,14
144,326,5
145,330,96
146,330,85
147,333,9
148,337,1
149,342,17
150,345,59
151,346,19
152,346,19
153,346,18
154,348,9
155,351,19
156,355,6
157,357,20
158,361,13
159,361,11
160,366,97
161,369,12
162,369,10
163,371,81
164,376,8
165,377,15
166,379,76
167,383,7
168,386,76
169,391,17
170,393,17
171,394,95
172,398,17
173,402,62
174,403,8
